Q1_What is your age (# years)?;Q4_What is the highest level of formal education that you have attained or plan to attain within the next 2 years?;Q6_For how many years have you been writing code and/or programming?;Q13_Approximately how many times have you used a TPU (tensor processing unit)?;Q15_For how many years have you used machine learning methods?;Q20_What is the size of the company where you are employed?;Q24_What is your current yearly compensation (approximate $USD)?;Q7_No. of Regular used programming languages?;Q9_No. of Specialized IDE?;Q14_No. of DataViz Libs or Tools?;Q16_No. of ML Framworks?;Q17_No. of ML algorithms?;Q18_No. of Computer Vsion methods?;Q19_No. of NLP methods?;Q26_A No. of Current Cloud platforms?;Q27_A No. of Current Cloud Products?;Q28_A No. of Current ML products?;Q29_A No. of Big Data Tools?;Q31_A No. of BI Tools used?;Q33_A No. of Automted ML Tools?;Q34_A No. of Auto ML Tools?;Q35_A No. of ML Experiment Management?;Q37_No. of Learning Platforms?
18-21;I prefer not to answer;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22-24;No formal education past high school];I have never written code;Never;I do not use machine learning methods;0-49 employees;$0-999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
25-29;Some college/university study without earning a bachelor’s degree;< 1 years;Once;Under 1 year;50-249 employees;1,000-1,999;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
30-34;Professional degree;1-2 years;2-5 times;1-2 years;250-999 employees;2,000-2,999;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
35-39;Bachelor’s degree;3-5 years;6-25 times;2-3 years;1000-9,999 employees;3,000-3,999;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
40-44;Master’s degree;5-10 years;More than 25 times;3-4 years;10,000 or more employees;4,000-4,999;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
45-49;Doctoral degree;10-20 years;;4-5 years;;5,000-7,499;6;6;6;6;6;6;;6;6;6;6;6;6;6;6;6
50-54;;20+ years;;5-10 years;;7,500-9,999;7;7;7;7;7;;;7;7;7;7;7;7;7;7;7
55-59;;;;10-20 years;;10,000-14,999;8;8;8;8;8;;;8;8;8;8;9;;8;9;8
60-69;;;;20 or more years;;15,000-19,999;9;9;9;9;9;;;10;9;9;9;13;;9;;9
70+;;;;;;20,000-24,999;10;10;10;10;10;;;;10;;10;;;10;;10
;;;;;;25,000-29,999;11;11;11;11;11;;;;;;11;;;;;11
;;;;;;30,000-39,999;12;;;13;;;;;;;12;;;;;
;;;;;;40,000-49,999;;;;14;;;;;;;13;;;;;
;;;;;;50,000-59,999;;;;15;;;;;;;15;;;;;
;;;;;;60,000-69,999;;;;;;;;;;;16;;;;;
;;;;;;70,000-79,999;;;;;;;;;;;;;;;;
;;;;;;80,000-89,999;;;;;;;;;;;;;;;;
;;;;;;90,000-99,999;;;;;;;;;;;;;;;;
;;;;;;100,000-124,999;;;;;;;;;;;;;;;;
;;;;;;125,000-149,999;;;;;;;;;;;;;;;;
;;;;;;150,000-199,999;;;;;;;;;;;;;;;;
;;;;;;200,000-249,999;;;;;;;;;;;;;;;;
;;;;;;250,000-299,999;;;;;;;;;;;;;;;;
;;;;;;300,000-500,000;;;;;;;;;;;;;;;;
;;;;;;> $500,000;;;;;;;;;;;;;;;;
